*************************************************************************             
 Light Scattering by Non-Spherical Particles + Polarization.                              
 Computation of Mueller matrix for convex polyhedron. 	         
 (Convex Hull Construction + Merge If Triangular Faces On Same Plane.)             
 Geometric optics + Monte Carlo, Diffraction is not considered.       		     
 2025.06 		     
 Mu Quan,  Email: mu.quan@foxmail.com 		     
*************************************************************************
The data read from the file is as follows:
refractiveIndex: 1.332000e+00+ i 0.000000e+00
positionNumber: 10000
batchSize: 10
batchNumber: 1
binNumber: 180
reflInsideControl: 10
totReflControl: 100
========================================================================== 
Hits counter: 33712; Total incoming NumPhoton:100000 (about 3.371200e+01%).
sum_Mlr_M11: 3.370689e+04; Missing:5.106788e+00 (about 1.514828e-02%).
Total run time: 2.956700e+01 seconds.
========================================================================== 
Scattering Angle      F11           -F12/F11         -F21/F11          F22/F11          F33/F11          F34/F11          F43/F11          F44/F11
+1.620000e+02    +3.848239e-01    +2.487248e-03    -4.944512e-03    +7.485312e-02    -4.332270e-01    -1.253961e-01    +1.101845e-01    +3.240387e-01
+1.630000e+02    +2.863755e-01    -2.210994e-02    -3.610281e-03    +8.109449e-02    -5.454817e-01    -1.150156e-01    +1.198593e-01    +2.044689e-01
+1.640000e+02    +3.024010e-01    -1.891654e-02    -3.478190e-02    -8.367871e-02    -5.646866e-01    -1.049694e-02    +4.951664e-02    +3.492881e-01
+1.650000e+02    +2.373471e-01    -4.658674e-02    -4.031582e-02    +1.341402e-01    -4.875030e-01    -9.886081e-02    -1.154368e-02    +2.007981e-01
+1.660000e+02    +2.190170e-01    -5.617500e-02    -2.867402e-02    -5.607876e-02    -7.157036e-01    -3.150944e-02    +1.087995e-01    +1.865240e-01
+1.670000e+02    +2.001367e-01    -9.508620e-02    -6.538517e-02    +1.165502e-01    -7.398413e-01    -7.820052e-03    +7.677207e-02    +1.166711e-02
+1.680000e+02    +2.885742e-01    -7.117930e-02    -7.637450e-02    +5.022286e-02    -6.578398e-01    +4.396648e-03    -4.385160e-02    +1.655707e-01
+1.690000e+02    +4.167222e-01    -5.096589e-02    -9.186576e-02    -2.265193e-02    -3.986238e-01    -1.134088e-01    +7.241174e-02    +2.225368e-01
+1.700000e+02    +5.560785e-01    -7.715669e-02    -4.027409e-02    +1.210466e-01    -3.969607e-01    -3.693899e-02    +7.681593e-02    +2.464204e-01
+1.710000e+02    +5.424754e-01    -8.143918e-02    -7.417347e-02    -9.280089e-03    -4.378322e-01    -8.916609e-02    -4.407630e-02    +2.850835e-01
+1.720000e+02    +4.988297e-01    -7.773766e-02    -5.925136e-02    +3.587610e-02    -4.887370e-01    +7.378555e-02    -9.736615e-02    +2.552306e-01
+1.730000e+02    +4.612548e-01    -1.184124e-01    -1.041279e-01    -5.642070e-02    -6.638107e-01    -9.705627e-03    +6.392852e-02    +2.986376e-01
+1.740000e+02    +5.532461e-01    -1.123098e-01    -1.420131e-01    +2.201178e-01    -4.554873e-01    -1.936714e-01    +1.285066e-01    -4.965963e-02
+1.750000e+02    +5.366046e-01    -1.106804e-01    -1.077291e-01    -1.466538e-01    -5.922750e-01    -2.080131e-01    -6.672380e-02    +2.126850e-01
+1.760000e+02    +6.311910e-01    -1.353882e-01    -2.072860e-01    +4.722114e-02    -4.871114e-01    -5.257803e-02    +8.775148e-04    +2.963156e-01
+1.770000e+02    +8.541038e-01    -1.855060e-01    -1.673914e-01    -1.976503e-01    -6.418941e-01    -6.693268e-02    +6.475322e-02    +4.213776e-01
+1.780000e+02    +1.360498e+00    -2.442804e-01    -1.970850e-01    -9.502574e-02    -6.451679e-01    -9.226354e-02    +7.234193e-02    +3.070206e-01
+1.790000e+02    +2.201765e+00    -2.019203e-01    -2.114473e-01    -1.892760e-01    -6.386952e-01    -7.995251e-02    +7.456222e-02    +3.955275e-01
+1.797500e+02    +1.230063e+01    -1.439403e-01    -1.110676e-01    -2.863678e-01    -6.281622e-01    +3.358960e-03    +1.050021e-01    +5.267404e-01
