*************************************************************************             
 Light Scattering by Non-Spherical Particles + Polarization.                              
 Computation of Mueller matrix for convex polyhedron. 	         
 (Convex Hull Construction + Merge If Triangular Faces On Same Plane.)             
 Geometric optics + Monte Carlo, Diffraction is not considered.       		     
 2025.06 		     
 Mu Quan,  Email: mu.quan@foxmail.com 		     
*************************************************************************
Hits counter: 33712; Total incoming NumPhoton:100000 (about 3.371200e+01%).
sum_Mlr_M11: 3.370689e+04; Missing:5.106788e+00 (about 1.514828e-02%).
Total run time: 2.956700e+01 seconds.
========================================================================== 
Scattering Angle      F11           -F12/F11         -F13/F11         -F14/F11         -F21/F11          F22/F11          F23/F11          F24/F11          F31/F11          F32/F11          F33/F11          F34/F11          F41/F11          F42/F11          F43/F11          F44/F11
+8.600000e+01    +3.786062e-01    +8.576116e-02    -1.159067e-02    +1.865026e-03    +8.833158e-02    +4.717689e-01    -7.097893e-03    -3.739173e-02    -4.720071e-03    +3.737540e-03    +3.006193e-01    -1.276213e-01    -6.083822e-04    -2.745912e-02    +1.455820e-01    +7.435701e-01
+8.700000e+01    +3.371809e-01    +1.096566e-01    +1.141529e-02    -4.730897e-04    +1.074539e-01    +4.970535e-01    -3.015282e-02    +3.263728e-02    +3.233945e-03    +2.107996e-02    +2.967466e-01    -1.624121e-01    -1.351319e-03    +1.087410e-02    +1.616517e-01    +7.163177e-01
+8.800000e+01    +3.357236e-01    +8.530873e-02    +1.144804e-03    -6.018792e-05    +8.443995e-02    +5.066123e-01    -4.735175e-02    -7.443718e-03    +3.002325e-03    +5.901032e-02    +3.318834e-01    -1.407065e-01    -2.183608e-04    -1.286980e-02    +1.387539e-01    +7.571521e-01
+8.900000e+01    +3.512928e-01    +8.772157e-02    +5.513148e-03    -2.429981e-03    +8.640620e-02    +4.724000e-01    -3.481811e-02    +4.193567e-02    +6.590675e-03    +4.130707e-02    +2.830132e-01    -1.301658e-01    +1.988733e-03    +1.201511e-02    +9.358247e-02    +7.165752e-01
+9.000000e+01    +3.377241e-01    +9.878509e-02    -4.219546e-04    +3.530899e-03    +8.993458e-02    +5.105884e-01    +1.716022e-02    -3.332920e-02    +1.326936e-02    -1.076701e-02    +3.202389e-01    -1.140829e-01    -5.414412e-04    +1.451713e-02    +1.202643e-01    +7.367189e-01
+9.100000e+01    +3.792432e-01    +8.551173e-02    -7.414264e-03    +1.140565e-03    +8.901799e-02    +5.581412e-01    +9.303377e-03    -1.415109e-02    +4.806678e-03    -8.796921e-03    +3.628380e-01    -1.833573e-01    +8.372746e-04    +3.801581e-03    +2.037526e-01    +7.181399e-01
+9.200000e+01    +2.968955e-01    +8.921007e-02    -2.960919e-03    -4.288355e-03    +9.383490e-02    +5.105058e-01    +6.323450e-02    +2.432660e-02    -4.031418e-03    -8.512766e-02    +2.866222e-01    -1.390056e-01    +1.416477e-03    +3.372890e-02    +1.477227e-01    +6.981977e-01
+9.300000e+01    +3.166921e-01    +9.498981e-02    -3.062950e-03    -1.566206e-03    +9.389966e-02    +4.469899e-01    -5.585256e-02    -1.554188e-02    +2.847032e-03    +6.207367e-02    +2.282675e-01    -1.349315e-01    +3.554857e-03    -4.041123e-03    +1.257465e-01    +7.057281e-01
+9.400000e+01    +2.741474e-01    +1.311956e-01    +4.215741e-03    -4.194767e-04    +1.332468e-01    +5.721034e-01    -1.709095e-02    +2.850879e-04    +2.648690e-03    +2.386216e-02    +3.065076e-01    -1.453076e-01    -2.109278e-03    +1.020978e-02    +1.438057e-01    +6.743958e-01
+9.500000e+01    +2.674308e-01    +1.086675e-01    +6.432837e-03    -1.939811e-03    +1.073736e-01    +5.064341e-01    +6.869263e-02    +5.173059e-03    -5.782033e-03    -5.720071e-02    +2.501200e-01    -1.421784e-01    -2.677246e-04    -3.577248e-02    +1.495423e-01    +6.756224e-01
+9.600000e+01    +2.622418e-01    +1.740387e-01    +4.052551e-03    -1.945734e-03    +1.635666e-01    +4.764488e-01    -1.986462e-02    +1.437620e-02    -8.441023e-03    -5.288995e-04    +1.590324e-01    -1.483943e-01    -4.032906e-03    -1.015095e-03    +1.447589e-01    +5.891202e-01
+9.700000e+01    +2.531110e-01    +1.394517e-01    +5.458386e-03    +3.733509e-03    +1.405333e-01    +5.663867e-01    -1.027644e-02    -3.375005e-02    +4.761798e-03    -5.000015e-04    +2.412860e-01    -1.356762e-01    -1.573062e-04    +4.106939e-03    +1.506142e-01    +6.067228e-01
+9.800000e+01    +2.234550e-01    +1.293030e-01    +1.457313e-03    -5.721024e-04    +1.325877e-01    +5.309191e-01    +1.955287e-02    +4.397964e-02    -5.054898e-03    +8.897963e-03    +2.599244e-01    -1.904758e-01    -9.333349e-04    +7.647403e-03    +1.574024e-01    +6.172894e-01
+9.900000e+01    +2.514834e-01    +1.312530e-01    -5.733613e-03    +3.516395e-03    +1.424031e-01    +5.729801e-01    +1.065226e-01    -9.260455e-03    -3.305584e-03    -1.053839e-01    +2.580554e-01    -1.206053e-01    +1.642370e-03    +2.227000e-04    +1.144200e-01    +6.148940e-01
+1.000000e+02    +2.351318e-01    +1.544560e-01    -1.929153e-02    +4.353392e-03    +1.525909e-01    +5.312331e-01    -1.726335e-03    -5.392747e-02    +6.653966e-03    -3.134717e-03    +2.355441e-01    -1.912048e-01    +5.149799e-04    +4.444226e-03    +1.829311e-01    +6.146663e-01
+1.010000e+02    +2.512487e-01    +1.134877e-01    +1.273216e-02    -9.319266e-04    +1.133024e-01    +4.895456e-01    -3.248772e-03    +1.853348e-02    -1.313274e-02    +2.511253e-02    +2.127468e-01    -1.562877e-01    -2.092129e-03    +4.111338e-02    +1.479447e-01    +6.437116e-01
+1.020000e+02    +1.809276e-01    +1.545875e-01    +6.062848e-03    -4.310225e-03    +1.684010e-01    +5.445100e-01    -4.931870e-03    -1.338002e-02    -6.187338e-03    +2.143893e-03    +1.878819e-01    -1.671432e-01    +2.892411e-03    +2.563294e-02    +1.736451e-01    +5.674682e-01
+1.030000e+02    +1.867820e-01    +2.077063e-01    +5.215299e-03    -1.985687e-04    +2.062108e-01    +6.414611e-01    +3.626251e-02    +2.820946e-02    -2.975621e-03    -3.329579e-02    +2.262564e-01    -1.164720e-01    +2.590124e-04    +3.892240e-03    +1.022619e-01    +5.152605e-01
+1.040000e+02    +2.417706e-01    +1.380720e-01    +1.292216e-02    +1.646466e-03    +1.404744e-01    +5.585071e-01    -8.451960e-02    +1.192189e-02    +3.785848e-03    +8.116474e-02    +2.259777e-01    -1.692656e-01    -3.485133e-03    +9.503041e-04    +2.026375e-01    +5.713563e-01
+1.050000e+02    +2.176749e-01    +1.475908e-01    +2.572018e-03    +4.204446e-03    +1.470571e-01    +5.833274e-01    -6.511542e-02    -3.789805e-02    +3.545606e-03    +6.630255e-02    +1.564540e-01    -1.363698e-01    +3.375430e-04    -4.831993e-02    +1.449039e-01    +5.019912e-01
+1.060000e+02    +2.206841e-01    +1.789439e-01    +7.709681e-03    -1.584658e-03    +1.787029e-01    +5.196039e-01    -6.090644e-02    -7.059866e-03    +6.897275e-04    +9.514896e-02    +5.616313e-02    -5.988984e-02    -2.756426e-03    -2.576313e-02    +6.636608e-02    +4.512853e-01
+1.070000e+02    +1.926825e-01    +1.459585e-01    +8.696586e-03    -3.271649e-03    +1.410283e-01    +6.051500e-01    -3.640872e-02    -1.143252e-03    -6.713212e-03    +2.232918e-02    +1.759054e-01    -1.980186e-01    -1.242057e-03    -1.116773e-02    +2.471814e-01    +4.788059e-01
+1.080000e+02    +1.916761e-01    +1.567708e-01    -2.204156e-02    +3.476371e-03    +1.576278e-01    +4.050177e-01    -1.312065e-01    -9.664574e-02    +1.205773e-02    +8.709052e-02    -1.813108e-03    -9.023471e-02    +2.724981e-03    -3.641561e-02    +1.277824e-01    +4.940179e-01
+1.090000e+02    +2.161063e-01    +1.531148e-01    +1.855396e-02    -2.358387e-03    +1.520378e-01    +6.222190e-01    -2.651026e-03    -1.589999e-02    +1.160862e-02    -2.641031e-02    +2.254549e-01    -1.492398e-01    -1.609299e-03    +5.102203e-03    +1.434574e-01    +5.022849e-01
+1.100000e+02    +2.062727e-01    +1.390396e-01    -6.061125e-03    -3.572472e-03    +1.425807e-01    +6.180117e-01    -4.531601e-02    +1.364925e-02    -1.120013e-02    +5.167932e-02    +2.162380e-01    -1.853933e-01    -6.377057e-05    -5.068308e-03    +1.897565e-01    +5.257254e-01
+1.110000e+02    +2.177086e-01    +1.449811e-01    +2.496651e-03    -1.478686e-04    +1.474101e-01    +6.801629e-01    +6.946326e-02    -1.400476e-02    -8.173766e-04    -5.545081e-02    +2.469101e-01    -1.228624e-01    +5.605680e-04    -1.060925e-04    +1.326070e-01    +4.849197e-01
+1.120000e+02    +2.366951e-01    +1.214581e-01    -9.124105e-03    +1.401641e-03    +1.087864e-01    +6.415117e-01    -8.040387e-03    +2.614579e-03    -5.751089e-03    +6.070613e-03    +2.244098e-01    -1.343099e-01    +2.201276e-03    -1.258532e-02    +1.371810e-01    +5.013938e-01
+1.130000e+02    +1.962854e-01    +1.523437e-01    -8.806304e-03    +2.574737e-03    +1.448958e-01    +5.550590e-01    -1.674982e-02    +2.433765e-02    +8.225553e-03    +2.033412e-02    +1.452782e-01    +5.378472e-02    +3.713044e-03    +5.022389e-02    +5.499553e-03    +4.919547e-01
+1.140000e+02    +2.052285e-01    +1.577510e-01    -1.561827e-02    +2.827924e-03    +1.512208e-01    +6.409682e-01    -1.834297e-02    -8.272070e-02    +7.267087e-03    -1.830444e-03    +1.146509e-01    -6.630103e-02    +2.988916e-03    -6.514966e-02    +8.221244e-02    +3.888879e-01
+1.150000e+02    +1.825118e-01    +1.724159e-01    -1.045161e-03    -5.973996e-03    +1.671353e-01    +5.467868e-01    -9.652342e-03    +4.828046e-03    -1.282761e-02    +4.097989e-03    +3.963760e-02    -3.802092e-02    -3.289324e-04    -3.507883e-02    +7.297111e-02    +3.856008e-01
+1.160000e+02    +2.088137e-01    +1.434623e-01    -8.445127e-03    +2.083232e-03    +1.236015e-01    +6.829002e-01    -5.479074e-02    -7.959337e-02    -1.121560e-02    +3.971808e-02    +2.165122e-01    -1.000660e-01    +5.081545e-03    -5.172420e-02    +1.290695e-01    +4.473461e-01
+1.170000e+02    +1.976013e-01    +1.679562e-01    -1.349639e-02    +5.625633e-04    +1.809288e-01    +6.331852e-01    +2.649764e-02    +2.902374e-02    +7.594707e-03    -2.343041e-02    +1.422922e-01    -6.922871e-02    -9.665816e-04    +3.882689e-02    +5.583882e-02    +4.213861e-01
+1.180000e+02    +1.800166e-01    +1.417196e-01    -6.193273e-03    -1.556120e-03    +1.541463e-01    +5.554961e-01    -4.097694e-02    +3.248651e-02    -1.532464e-02    +6.301511e-02    +8.881931e-03    -2.509267e-02    -8.238046e-04    +3.059710e-02    +5.333718e-02    +3.695708e-01
+1.190000e+02    +2.105391e-01    +8.972094e-02    +1.291923e-02    -2.869112e-04    +9.213330e-02    +6.406071e-01    -5.171359e-02    -2.970681e-02    -1.785307e-03    +7.120870e-02    +2.060003e-01    -1.152360e-01    -4.272333e-03    -2.632021e-02    +8.050486e-02    +4.853769e-01
+1.200000e+02    +2.118327e-01    +1.150009e-01    -8.536180e-03    +2.107294e-04    +1.155686e-01    +6.498641e-01    +3.297574e-02    +2.373073e-02    -6.657307e-03    -3.455317e-02    +1.410110e-01    -2.133317e-03    -1.896123e-03    +1.151453e-02    +2.251569e-02    +4.361001e-01
+1.210000e+02    +2.096586e-01    +1.096219e-01    -1.062863e-02    +1.177308e-03    +1.140687e-01    +5.795436e-01    -3.653091e-02    -2.761192e-02    +9.968894e-03    +2.827015e-02    +1.128293e-01    -4.266877e-02    +5.151391e-03    -2.015121e-02    +5.421491e-02    +4.767771e-01
+1.220000e+02    +1.973944e-01    +1.086139e-01    -7.178166e-03    +7.592457e-04    +1.008273e-01    +5.072596e-01    +8.563213e-02    +3.732656e-02    +1.376454e-04    -7.067157e-02    +9.622518e-02    -7.637567e-02    +2.842301e-03    +1.095374e-02    +2.991572e-02    +4.723797e-01
+1.230000e+02    +2.113003e-01    +1.238007e-01    -2.208766e-02    -1.237055e-03    +1.332182e-01    +5.199861e-01    +2.179425e-02    +5.037852e-03    -1.567118e-02    -2.021077e-02    +5.991283e-02    +3.132621e-02    +2.069152e-04    -1.125030e-02    -3.604882e-02    +4.598492e-01
+1.240000e+02    +2.030613e-01    +1.371705e-01    +9.504552e-03    +2.415814e-03    +1.450836e-01    +4.962079e-01    -4.161231e-02    -1.715468e-02    +1.392628e-02    +3.631145e-02    +5.336887e-03    +1.332951e-01    -4.291752e-03    -2.318507e-02    -1.632633e-01    +4.068541e-01
+1.250000e+02    +1.671503e-01    +1.844905e-01    -4.481989e-03    -9.895388e-04    +1.736362e-01    +6.171079e-01    +3.213520e-02    +1.442260e-02    -2.338865e-03    -1.769534e-02    +4.838654e-02    +1.519957e-01    +3.066433e-03    -1.503175e-04    -1.490879e-01    +3.274214e-01
+1.260000e+02    +1.549772e-01    +2.085360e-01    -3.951727e-03    +2.379963e-03    +1.971014e-01    +5.274619e-01    +5.413675e-03    +5.762373e-02    -2.907352e-03    -1.347203e-02    -1.114451e-01    +1.112832e-01    -1.244927e-03    +1.538972e-02    -1.215095e-01    +2.619749e-01
+1.270000e+02    +1.920235e-01    +1.499578e-01    -2.306140e-02    +5.646262e-03    +1.465661e-01    +4.775495e-01    -4.530355e-02    -1.074670e-02    -1.825698e-02    +7.026312e-02    -8.931957e-02    +1.560624e-01    +1.289427e-03    -2.738162e-03    -1.657272e-01    +2.902384e-01
+1.280000e+02    +1.781698e-01    +1.442172e-01    -2.074002e-02    +1.294122e-04    +1.593599e-01    +4.349459e-01    -5.023632e-02    -4.722222e-02    -1.062356e-02    +6.217983e-02    -6.925407e-02    +1.402152e-01    -1.652986e-03    +2.414003e-02    -8.052517e-02    +3.513880e-01
+1.290000e+02    +2.071890e-01    +1.749187e-01    +1.087522e-02    +4.186183e-04    +1.630881e-01    +4.822840e-01    -8.727173e-03    -2.174236e-03    +1.130916e-02    +1.253213e-02    -1.464014e-01    +1.706130e-01    -5.782707e-04    +3.338718e-02    -1.666436e-01    +2.660135e-01
+1.300000e+02    +1.770202e-01    +1.445522e-01    -8.027806e-04    +3.871824e-03    +1.610842e-01    +3.822940e-01    +1.320267e-02    -5.473881e-02    +2.201890e-02    -9.834818e-03    -1.610634e-01    +1.250834e-01    -2.408583e-03    +2.328169e-03    -1.436938e-01    +2.981407e-01
+1.310000e+02    +1.845531e-01    +1.683504e-01    +4.642494e-03    +2.944973e-03    +1.665210e-01    +4.237348e-01    +2.116993e-02    -2.623908e-02    +1.222539e-02    -1.726235e-02    -1.935170e-01    +1.417493e-01    -2.150351e-03    +1.962182e-02    -1.190052e-01    +2.386572e-01
+1.320000e+02    +2.072047e-01    +1.354205e-01    -1.588633e-02    +1.931924e-03    +1.676409e-01    +4.115702e-01    +1.096992e-02    +2.777832e-02    -1.134836e-02    +8.862296e-03    -1.739425e-01    +1.487301e-01    +8.216628e-04    +3.186931e-02    -1.525698e-01    +2.824852e-01
+1.330000e+02    +1.777316e-01    +1.507964e-01    -9.447852e-03    -2.504422e-04    +1.522958e-01    +4.535691e-01    +4.518062e-02    +5.417396e-04    -7.083010e-03    -3.291311e-02    -1.740207e-01    +2.161209e-01    -2.399583e-03    +3.920865e-02    -2.201371e-01    +2.548195e-01
+1.340000e+02    +1.704040e-01    +1.818185e-01    -3.279359e-03    +4.220977e-04    +1.664970e-01    +4.706408e-01    -2.554034e-02    -7.721515e-02    +5.474416e-03    +3.759382e-02    -1.753768e-01    +1.150652e-01    -5.714678e-05    -1.712487e-02    -1.530549e-01    +2.169716e-01
+1.350000e+02    +1.856212e-01    +1.715623e-01    +1.178429e-02    -1.191191e-03    +1.715272e-01    +4.273383e-01    +6.209519e-02    -1.736558e-02    +5.554218e-03    -7.646006e-02    -1.240992e-01    +2.036873e-01    -1.782858e-03    -6.046689e-02    -1.126710e-01    +2.643274e-01
+1.360000e+02    +2.103335e-01    +1.313709e-01    +4.007886e-03    -4.601393e-03    +1.358090e-01    +3.606669e-01    +9.631489e-02    +3.599428e-02    -4.511471e-04    -9.295211e-02    -2.076751e-01    +1.506831e-01    -4.333865e-03    +2.533191e-02    -1.975273e-01    +2.986397e-01
+1.370000e+02    +2.023257e-01    +1.429708e-01    -1.015056e-03    -4.022945e-03    +1.570144e-01    +3.180749e-01    -2.590659e-02    -7.593623e-02    +4.263801e-03    +8.093433e-02    -2.057108e-01    +5.408781e-02    -5.965652e-03    +1.103044e-01    -1.015743e-01    +2.530061e-01
+1.380000e+02    +2.418519e-01    +1.436863e-01    +1.161610e-02    +1.231861e-03    +1.385185e-01    +3.538277e-01    -1.633152e-02    +3.355472e-02    +1.306381e-03    +1.256000e-02    -1.693958e-01    +4.715101e-02    +9.730428e-04    -6.239699e-03    -7.788836e-02    +2.998916e-01
+1.390000e+02    +2.051359e-01    +1.201712e-01    +9.220346e-03    +1.997444e-03    +1.083737e-01    +1.539870e-01    +4.127424e-02    -8.124308e-03    +2.063254e-03    -3.361917e-02    -3.116790e-01    +8.101560e-02    -4.619890e-03    -2.436112e-02    -5.691630e-02    +3.300797e-01
+1.400000e+02    +2.525678e-01    +1.391531e-01    -1.304520e-02    -2.516195e-03    +1.363451e-01    +3.102313e-01    -1.901225e-02    +5.347577e-02    -2.895769e-03    -7.739491e-03    -2.159224e-01    -5.234473e-03    -1.281266e-03    +3.227385e-02    -7.646691e-02    +3.085075e-01
+1.410000e+02    +2.247046e-01    +1.686304e-01    -1.577838e-03    -2.477423e-03    +1.486149e-01    +2.637366e-01    -1.108747e-01    -4.427454e-02    +3.641067e-03    +1.030912e-01    -2.518180e-01    +3.044374e-02    -1.403285e-03    -7.427045e-02    -5.413048e-02    +2.985272e-01
+1.420000e+02    +3.671019e-01    +1.237602e-01    +2.519587e-02    -3.324498e-03    +1.194963e-01    +2.062942e-01    -1.866791e-02    +4.315634e-02    +7.067388e-03    +2.591695e-02    -2.247175e-01    +8.664255e-02    +4.376020e-04    -8.045150e-03    -4.096810e-02    +3.987004e-01
+1.430000e+02    +2.987361e-01    +1.381580e-01    +1.899819e-03    +1.385453e-03    +1.345149e-01    +1.999207e-01    +1.445182e-01    +3.022027e-02    -2.963177e-03    -1.308885e-01    -2.782986e-01    +1.341944e-01    +1.203057e-03    +2.097644e-02    -3.286972e-02    +3.485343e-01
+1.440000e+02    +3.924814e-01    +1.376405e-01    +4.395086e-03    +4.727944e-03    +1.253994e-01    +5.504863e-02    +7.186634e-03    +2.698613e-02    +9.733452e-03    -2.507991e-02    -3.646622e-01    +1.037306e-01    +7.968738e-03    -5.702624e-02    -4.353769e-02    +4.044592e-01
+1.450000e+02    +2.912691e-01    +1.579252e-01    +1.232635e-02    +9.063955e-04    +1.714727e-01    +1.126158e-01    +1.423390e-01    +4.813823e-02    +5.614400e-03    -1.305731e-01    -4.044949e-01    +4.225194e-02    -2.074226e-03    +7.248688e-02    +4.307690e-02    +3.821115e-01
+1.460000e+02    +3.310947e-01    +1.371659e-01    +7.575748e-04    -3.825886e-03    +1.427592e-01    +1.258298e-01    -5.548566e-02    +3.495497e-02    -1.271244e-02    +6.240825e-02    -3.220762e-01    -8.589336e-02    +1.622174e-04    +2.695767e-02    +2.586796e-02    +3.968992e-01
+1.470000e+02    +3.380494e-01    +1.556979e-01    +2.261729e-03    -3.528354e-04    +1.534526e-01    +1.854924e-01    +5.834530e-02    -2.250229e-02    +3.681643e-03    -3.380056e-02    -2.605291e-01    -3.874606e-02    -3.966818e-03    +6.993369e-03    +6.798540e-02    +3.965603e-01
+1.480000e+02    +4.301288e-01    +8.873679e-02    -3.974274e-03    -8.486504e-05    +9.028583e-02    +1.033051e-01    -1.861240e-02    +5.280279e-02    +4.891611e-04    +9.281035e-03    -2.902376e-01    -4.045124e-02    +1.164546e-03    +5.440101e-02    +5.468076e-02    +4.709093e-01
+1.490000e+02    +5.412305e-01    +1.045846e-01    +9.021826e-04    +5.130625e-04    +9.900151e-02    +2.652419e-01    +6.273449e-02    -4.301627e-02    -9.222444e-03    -6.585800e-02    -1.681093e-01    -1.478204e-01    -1.489884e-03    -6.487991e-02    +1.308768e-01    +4.433552e-01
+1.500000e+02    +4.547380e-01    +8.374057e-02    -1.266939e-02    -2.503458e-03    +8.005957e-02    +1.648320e-01    -1.399761e-01    +1.620390e-02    +2.730878e-03    +1.784257e-01    -2.083668e-01    -1.999484e-01    -3.444793e-04    +7.239266e-02    +1.424104e-01    +4.896880e-01
+1.510000e+02    +5.257671e-01    +6.875499e-02    +1.888270e-03    -1.920922e-04    +6.580726e-02    +2.314959e-01    -3.680979e-02    +3.983293e-02    -6.366441e-04    +1.769220e-02    -1.958667e-01    -1.986978e-01    -6.072283e-04    +5.368103e-02    +2.423360e-01    +4.435570e-01
+1.520000e+02    +4.114764e-01    +1.018012e-01    -3.392521e-03    +4.964896e-04    +8.832920e-02    +2.440137e-01    -4.131082e-02    -4.639439e-02    -5.744562e-04    +2.874159e-02    -1.837101e-01    -1.051927e-01    -9.866002e-04    -2.513261e-03    +7.299463e-02    +4.106853e-01
+1.530000e+02    +4.142454e-01    +6.942904e-02    -8.381534e-03    -2.898567e-03    +7.514794e-02    +2.294982e-01    +2.824765e-02    -1.196284e-01    +3.980090e-03    -6.385412e-02    -2.135669e-01    -1.345456e-01    -1.712098e-03    -4.396176e-02    +2.226268e-01    +3.873363e-01
+1.540000e+02    +4.323063e-01    +5.850264e-02    -1.438961e-04    -2.500894e-03    +5.525630e-02    +1.938437e-01    +9.818280e-03    -9.330637e-02    -6.161129e-04    +1.279443e-02    -2.163082e-01    -1.355604e-01    -2.866878e-03    -1.561518e-02    +1.487736e-01    +4.098251e-01
+1.550000e+02    +4.167548e-01    +4.552841e-02    -8.941021e-03    -2.672873e-03    +5.035347e-02    +2.536824e-01    -8.134890e-02    -1.047923e-01    -4.352547e-03    +5.154991e-02    -2.061996e-01    -1.928998e-01    +2.664348e-03    -8.618823e-02    +1.721786e-01    +3.732251e-01
+1.560000e+02    +4.035083e-01    +5.267066e-02    +5.508012e-04    -9.430681e-04    +5.931440e-02    +2.687542e-01    +1.070270e-02    +7.798084e-02    -7.433326e-03    -3.992866e-02    -2.018860e-01    -5.258338e-02    +5.222381e-03    +8.292251e-03    +6.017723e-02    +3.445397e-01
+1.570000e+02    +4.620884e-01    +3.529934e-02    +1.721391e-02    +1.894490e-03    +2.998732e-02    +2.416563e-01    -1.952062e-02    -9.202148e-02    +6.596335e-03    -2.619875e-02    -2.487366e-01    -1.884631e-01    +1.291827e-03    -3.163092e-02    +2.761835e-01    +3.532257e-01
+1.580000e+02    +3.646789e-01    +2.935900e-02    -6.374465e-03    +1.803313e-03    +2.803428e-02    +7.830484e-02    +3.598663e-02    -1.232472e-01    +1.211624e-02    -1.070706e-01    -3.789406e-01    -8.618044e-02    -1.434017e-03    -7.692554e-02    +1.117659e-01    +3.369713e-01
+1.590000e+02    +4.501228e-01    +2.137103e-02    +7.121387e-03    +4.123212e-03    +1.150977e-02    +2.312926e-01    +1.557903e-01    -3.192735e-02    +8.928316e-03    -1.277966e-01    -2.340336e-01    -1.314798e-01    -4.378696e-03    +9.238036e-02    +1.617637e-01    +3.755057e-01
+1.600000e+02    +3.880022e-01    +2.652755e-02    +2.899119e-03    -8.796116e-04    +3.485626e-02    +1.111850e-01    -1.500998e-01    +6.647853e-02    -1.626499e-04    +1.556858e-01    -3.174891e-01    -5.365847e-02    -7.221686e-04    +8.006209e-02    +4.226213e-02    +3.568633e-01
+1.610000e+02    +3.208057e-01    -2.124667e-03    -1.071553e-02    -2.108637e-03    +1.037683e-02    +2.011079e-01    +1.441893e-02    -2.034055e-03    -2.974127e-03    +5.188517e-02    -2.653941e-01    +4.553243e-02    -3.635076e-03    +1.300086e-01    +7.711302e-02    +3.175912e-01
+1.620000e+02    +3.848239e-01    +2.487248e-03    -1.781944e-02    -1.211986e-02    -4.944512e-03    +7.485312e-02    +5.062077e-02    -4.561427e-02    -1.214345e-02    -1.224468e-01    -4.332270e-01    -1.253961e-01    -4.992345e-05    -6.922142e-02    +1.101845e-01    +3.240387e-01
+1.630000e+02    +2.863755e-01    -2.210994e-02    +7.663761e-03    -8.684169e-03    -3.610281e-03    +8.109449e-02    -6.686800e-02    +1.115429e-01    -9.503068e-03    +1.448744e-01    -5.454817e-01    -1.150156e-01    +8.603024e-03    +5.508812e-02    +1.198593e-01    +2.044689e-01
+1.640000e+02    +3.024010e-01    -1.891654e-02    -8.002835e-03    +8.700130e-03    -3.478190e-02    -8.367871e-02    -3.649248e-02    +6.419536e-02    -1.446918e-02    +3.189521e-02    -5.646866e-01    -1.049694e-02    +9.261033e-03    -5.621767e-02    +4.951664e-02    +3.492881e-01
+1.650000e+02    +2.373471e-01    -4.658674e-02    -6.786082e-03    +2.848683e-03    -4.031582e-02    +1.341402e-01    -2.715316e-02    +5.350573e-02    -6.308721e-03    +4.229611e-02    -4.875030e-01    -9.886081e-02    +8.222219e-03    +7.834846e-03    -1.154368e-02    +2.007981e-01
+1.660000e+02    +2.190170e-01    -5.617500e-02    -1.622003e-02    -1.081021e-02    -2.867402e-02    -5.607876e-02    -1.682302e-02    -8.615258e-02    -1.504939e-02    +2.179632e-02    -7.157036e-01    -3.150944e-02    +1.201212e-03    -7.772259e-02    +1.087995e-01    +1.865240e-01
+1.670000e+02    +2.001367e-01    -9.508620e-02    -1.382658e-02    +6.520940e-03    -6.538517e-02    +1.165502e-01    -1.559745e-02    -1.311358e-01    +4.274393e-04    +2.406071e-02    -7.398413e-01    -7.820052e-03    +6.995883e-04    -1.297901e-01    +7.677207e-02    +1.166711e-02
+1.680000e+02    +2.885742e-01    -7.117930e-02    -2.712504e-02    -1.496481e-03    -7.637450e-02    +5.022286e-02    -2.354022e-02    -1.748374e-02    -2.188123e-02    +1.194127e-02    -6.578398e-01    +4.396648e-03    +9.254985e-03    -1.534787e-02    -4.385160e-02    +1.655707e-01
+1.690000e+02    +4.167222e-01    -5.096589e-02    +9.354333e-03    +1.000429e-03    -9.186576e-02    -2.265193e-02    -2.375064e-02    -3.707921e-02    -6.074780e-03    -1.156725e-01    -3.986238e-01    -1.134088e-01    -8.262955e-04    -6.410142e-02    +7.241174e-02    +2.225368e-01
+1.700000e+02    +5.560785e-01    -7.715669e-02    +7.481442e-04    +4.902934e-03    -4.027409e-02    +1.210466e-01    -4.589622e-02    +8.194958e-02    -1.329129e-03    +2.078245e-02    -3.969607e-01    -3.693899e-02    -4.849279e-03    -6.692206e-02    +7.681593e-02    +2.464204e-01
+1.710000e+02    +5.424754e-01    -8.143918e-02    -3.518650e-04    +8.148439e-03    -7.417347e-02    -9.280089e-03    -2.362851e-02    -1.286075e-01    +9.512152e-03    +1.053328e-01    -4.378322e-01    -8.916609e-02    +8.963784e-03    -1.573111e-01    -4.407630e-02    +2.850835e-01
+1.720000e+02    +4.988297e-01    -7.773766e-02    +3.068172e-03    +6.412752e-03    -5.925136e-02    +3.587610e-02    -6.118015e-02    -1.035100e-01    -1.238620e-03    +7.936956e-03    -4.887370e-01    +7.378555e-02    -5.816890e-03    -9.227546e-02    -9.736615e-02    +2.552306e-01
+1.730000e+02    +4.612548e-01    -1.184124e-01    -1.375790e-02    -1.461522e-02    -1.041279e-01    -5.642070e-02    -3.109343e-02    +4.537616e-02    -1.637668e-02    +1.998018e-02    -6.638107e-01    -9.705627e-03    +1.470960e-04    +1.574933e-04    +6.392852e-02    +2.986376e-01
